"","X","X.Intercept.","V1","V2","V3","V4","V5","V6","V7","V8"
"1","estimate",4.90400671,0.04752018,4.68949114,0,4.71072773,4.92164399,4.95412087,0,0
"2","...2",4.17092190454384,0.0536942467320247,4.76298998011676,0,4.77327684453596,4.96282731331438,4.91524733440087,0,0
"3","...3",2.82520444545093,0,4.83747829857883,0,4.87563737958867,4.9167289578661,4.93005955846935,0,0
"4","...4",3.20115841771509,0,4.59823015974858,0.253461710668537,4.82677049116789,4.93387763609414,4.92060408662814,0,0
"5","...5",5.40840144699951,0,4.691532748548,0,4.68725680624129,4.89736059435049,4.94524604651084,0,0
"6","...6",4.33231227773578,0,4.73295260252103,0,4.75869827885158,4.94508338747984,4.97132693693158,0,0
"7","...7",2.98994342108579,0,4.72895713742332,0,4.90178719311999,4.93007068947904,4.93728223135032,0,0
"8","...8",5.82602753952333,0,4.7647930776493,0,4.65006558787877,4.90315132774706,4.89969717967335,0,0
"9","...9",4.16802565731828,0,4.76797955050391,0,4.81116397334347,4.86764014644354,4.93259645119147,0,0
"10","...10",6.14861829022782,0,4.7652681197617,0,4.68166865432087,4.90441667594469,4.93030279926444,0,-0.129217690145384
"11","...11",3.99528610675315,0,4.70237252060842,0,4.80050057937279,4.9087224549507,4.96571151973472,0,0
"12","...12",5.98280773350907,0,4.65763761939939,0,4.64950836205636,4.90806017434423,4.92541949285028,0,0
"13","...13",5.0122040552303,0,4.65177170361968,0,4.73839634342579,4.92409902627308,4.95627896531331,0,0
"14","...14",3.8035211840582,0,4.80141345699759,0,4.79175783562218,4.94406894339156,4.94188069863837,0,0
"15","...15",2.85606460526488,0.147470198522128,4.69101126935021,0,4.88749036909845,4.94023153143389,4.91694681311104,0,0
"16","...16",5.22990927191931,0,4.76657189691698,0,4.70785701520028,4.90979015987275,4.92722242461229,0,-0.026548684741791
"17","...17",5.42263192023879,0,4.69524874013741,0.000265825345109762,4.71092887178894,4.88254033260205,4.9138129676079,0,0
"18","...18",4.9996134205159,0,4.64229155433703,0,4.73748154203045,4.97290293183084,4.93577101594277,0,0
"19","...19",7.13747706031657,0.0136075320446772,4.69320423593906,0,4.52913257496743,4.88944867845512,4.91144979469552,0,0
"20","...20",4.96481827300623,0,4.56214811294554,0.0933104550228159,4.76817310319687,4.87185313460426,4.92802019072964,0,0
"21","...21",5.70258742765194,0,4.62633335354574,0,4.67985651015985,4.92900749777564,4.93568760434635,0,0
"22","...22",2.21502590528875,0,4.7771063836912,0,4.90927335030521,4.95860689664898,4.97747677964015,0,0
"23","...23",4.308423303576,0,4.64963190945879,0,4.82641529968561,4.92297499293025,4.92169123363186,0,0
"24","...24",6.07058095792043,0,4.82170037039076,0,4.59870032130256,4.88971586498511,4.88947338524837,0,0
"25","...25",4.63642435148083,0,4.88023492021331,0,4.68674449736263,4.9242527769335,4.93247643491531,0,0
"26","...26",6.89603956285445,0,4.56793230028984,0.0682741163636457,4.59368844865178,4.87139541824883,4.90068536848638,0,0
"27","...27",4.59824011820687,0,4.5995446771178,0,4.8311531469146,4.94795945966088,4.92060575271438,0,0
"28","...28",5.10402937134454,0,4.71870693246379,0,4.76611017916727,4.90352062128012,4.90729637076669,0,0
"29","...29",3.90961030703755,0.0771774670129241,4.77188913099688,0.000465590393487179,4.77378635126861,4.92454147640748,4.93268544899271,0,0
"30","...30",4.12423639203527,0,4.76763167739357,0,4.75977752169366,4.90101646763855,4.93145651257598,0,0
"31","...31",4.10392719738158,0,4.7396038674276,0,4.78958847028209,4.91037426399893,4.96721677546433,0,0
"32","...32",6.03042067936529,0,4.72470733834095,0,4.61731867211426,4.92379341368821,4.92056732766473,0,0
"33","...33",5.05720664801835,0,4.63857293063467,0,4.76280256484854,4.90067901984438,4.91739067397672,0,0
"34","...34",4.37725597031504,0,4.80449963171429,0,4.73304280076524,4.91933275066033,4.92645784384572,0,0
"35","...35",6.41954613947527,0.00934451746121532,4.72359258532774,0,4.59354878365037,4.9184427975707,4.93689123542055,0,0
"36","...36",6.78099922404306,0,4.65758742220109,0,4.59011665569181,4.90621086422822,4.94267554050265,0,0
"37","...37",5.21439406537295,0.0646507523686029,4.68521863680491,0,4.69864065450667,4.93337013676253,4.95031025911244,0,0
"38","...38",5.30069194489159,0,4.70742587813805,0,4.69340093066442,4.89482966061379,4.98205175581013,0,0
"39","...39",3.96748854136955,0,4.78964696746985,0,4.77397174296918,4.96324415956672,4.9564572060783,0,0
"40","...40",4.84589214087143,0,4.70284958371944,0,4.75079195019764,4.88496778288508,4.94770183953957,0,0
"41","...41",3.82164063095046,0.158375562336089,4.69451829120397,0,4.83037774318121,4.94158848027218,4.90138174123681,0,0
"42","...42",5.53600250320364,0.00970626856860461,4.57875884497626,0,4.74737946282518,4.93571976503152,4.94593033896288,0,0
"43","...43",6.8413817819813,0,4.59585208293146,0,4.60727313521521,4.88310838011632,4.92657725665826,0,0
"44","...44",4.68510260306982,0,4.69418762678483,0,4.71559327672,4.93703729932905,4.97937880176016,0,0
"45","...45",3.99668974052947,0,4.74224366935531,0,4.83562524590057,4.92895030401942,4.90878340622349,0,0
"46","...46",5.20648735873929,0.0924843327148777,4.68231294683146,0,4.65748257998711,4.89887746055358,4.93142691963042,0,0
"47","...47",4.60622251237884,0,4.75889611416661,0.114550608608595,4.68492806266638,4.90920758962621,4.9491816428742,0,0
"48","...48",4.7321437331283,0,4.64110457175608,0,4.82924369105863,4.90450147871022,4.90721525556992,0,0
"49","...49",3.64042979185741,0,4.76020215714083,0,4.78813849137847,4.94577740472922,4.92163755619587,0,0
"50","...50",6.05738141992902,0,4.73956050778573,0,4.56256808928139,4.9329146083358,4.96819525462505,0,0
"51","...51",4.76780054728328,0,4.66334291450262,0,4.75948959114405,4.94185544093481,4.93999764457607,0,0
"52","...52",4.93926057732076,0,4.65401442416065,0.02571593905627,4.75157463616905,4.89880318524277,4.91264282566372,0,0
"53","...53",4.90821016217169,0,4.8303304910563,0.00839349159218073,4.70274099846578,4.94997504685263,4.92616666984246,0,0
"54","...54",3.82655682332436,0,4.83382333429685,0,4.7903029169124,4.88697267840544,4.9470714928386,0,0
"55","...55",3.4891835430338,0,4.77539404910061,0,4.84689340741163,4.94348398016259,4.93467430365394,0,0
"56","...56",5.63503331585715,0,4.63140999447065,0.136252588114942,4.64965280512009,4.89790016300546,4.92929630830747,0,0
"57","...57",3.81514763652252,0,4.74358742936237,0,4.81386492724612,4.95280208852312,4.93682624316556,0,0
"58","...58",5.79622448548133,0,4.81307042813066,0,4.5970294079255,4.87902562849526,4.92838474413849,0,0
"59","...59",2.84763137756439,0,4.70229029750974,0,4.96773570938876,4.93714960192884,4.93743533574666,0,0
"60","...60",5.12033235257359,0,4.76214864052074,0,4.72317515874037,4.88486434075583,4.92988555184646,0,0
"61","...61",3.91238537170922,0,4.70491267155609,0,4.8728000575146,4.91021259412891,4.88973426707886,0,0
"62","...62",4.01001544935119,0,4.78259975257749,0,4.80943515674641,4.93181434918341,4.90461615606663,0,0
"63","...63",5.10533136127716,0.00255109270768456,4.77360096184686,0,4.72197421243852,4.89885516761624,4.91931859092891,0,0
"64","...64",7.04011446391478,0.082822054295825,4.54838978085366,0,4.59103055452477,4.94531194373822,4.92539566791214,0,0
"65","...65",5.40197981289153,0,4.50096014396403,0,4.83850946770409,4.89608235854081,4.92396049703785,0,0
"66","...66",5.68193409898173,0,4.28823648898008,0.338118943566718,4.66382934783724,4.89149812099677,4.98496127742585,0,0
"67","...67",5.87245060239656,0,4.60671930189786,0,4.67937453233487,4.89796904393212,4.93289892626421,0,0
"68","...68",5.86562674231929,0,4.65382194646653,0,4.6480424287762,4.95075134429306,4.93676083305481,0,0
"69","...69",6.41971637153272,0,4.59898296549476,0,4.65345940065341,4.8797777651651,4.90966213310249,0,0
"70","...70",4.80020543576949,0.157879092564083,4.5954199814175,0,4.74465253655659,4.9550874660174,4.93878463275877,0,0
"71","...71",4.88452007151106,0,4.61954582599988,0,4.79504109137648,4.91001249927412,4.91960173110728,0,0
"72","...72",4.51271742078911,0.0704156990959182,4.72480612867764,0,4.74376717500149,4.91908772608497,4.90123693721607,0,0
"73","...73",5.13270784627384,0,4.76412587347229,0,4.69355268651249,4.96316595530798,4.91003179956536,0,0
"74","...74",1.11846662679486,0.0227736517901944,4.92005820832646,0,5.00198406996498,4.91965410791962,4.92066354994913,0,0
"75","...75",5.96144745118381,0.0573538278742067,4.52052696804649,0.112574988594292,4.67113994470036,4.90128361602079,4.9383050602594,0,0
"76","...76",3.60582401159616,0,4.82833152656784,0,4.81627842882512,4.90363150771769,4.94052964074713,0,0
"77","...77",3.63815526163893,0.0152498507164678,4.87479292008683,0,4.75688558968362,4.9190126491216,4.94988535759695,0,0
"78","...78",3.69797432563552,0.194966603188578,4.6398143203974,0,4.79495994358133,4.94753120787788,4.9569849609178,0,0
"79","...79",5.25614418754764,0,4.79465639206664,0,4.65855148259229,4.88530242545082,4.96121358054731,0,0
"80","...80",6.56924875773192,0,4.68984365996103,0,4.57481693028034,4.88901536074682,4.91994788126893,0,0
"81","...81",4.84376859516248,0,4.75630103340049,0.0129720183999647,4.72375378294601,4.92285717881259,4.91769305317752,0,0
"82","...82",5.09424098598401,0,4.68616817641095,0,4.74209308089751,4.92618745079152,4.93302766836658,0,0
"83","...83",5.15756266654506,0,4.70650086468093,0,4.68577135120384,4.9434842392966,4.91665514453545,0,0
"84","...84",2.81984329296075,0,4.83088774494216,0,4.84627758544342,4.94341681132,4.94190214027607,0,0
"85","...85",5.49243161935848,0,4.63793626909534,0,4.71817607119097,4.90380807241673,4.88901743312546,0,0
"86","...86",3.78068357594656,0.0913048243165715,4.74247032301278,0,4.78817769963079,4.94035150893233,4.92683894775686,0,0
"87","...87",3.80820375115002,0.0114375904524043,4.62777902415757,0,4.83511136499524,4.94162605091094,4.97449607163212,0,0
"88","...88",1.71421127235085,0.104827920348634,4.72693510220504,0,5.0117625430107,4.90798959890381,4.93527831178158,0,0
"89","...89",6.00495071902511,0,4.63149578361016,0.199008984605487,4.60531828680259,4.89332817511913,4.88202306812897,0,0
"90","...90",4.88928714312047,0,4.62924215247807,0,4.8353690610751,4.88585702143592,4.89999078097209,0,0
"91","...91",5.26997191311655,0,4.64723542166513,0,4.7011801948604,4.89848488721364,4.93680963520709,0,0
"92","...92",6.36191503082983,0,4.5742010033307,0.172161461264726,4.6187244269395,4.90015104600393,4.89536048565533,0,0
"93","...93",3.19796817448815,0,4.83585632352833,0,4.84637210754802,4.95146314609089,4.95210961923223,0,0
"94","...94",4.30932201889727,0,4.66889164160404,0,4.83952159525306,4.92137711446545,4.90106468523735,0,0
"95","...95",3.75130821882102,0,4.77055896399941,0,4.81206266095668,4.96668850416129,4.96219357198448,0,0
"96","...96",4.33217277628269,0,4.54747595055569,0.115572728342577,4.78392380728619,4.9024722535705,4.93716335054833,0,0
"97","...97",4.78308937767041,0,4.63667969641074,0,4.76871199215818,4.89637962663518,4.94636298412708,0,0
"98","...98",4.23929160566877,0,4.82822902222384,0,4.71124949858295,4.90016139463008,4.94218891059831,0,0
"99","...99",2.34586927769972,0,4.81861165277694,0,4.93243145595638,4.91559397215713,4.92504608731484,0,0
"100","...100",3.74913733003068,0,4.7965814088258,0,4.79292112965727,4.93078398633935,4.9349177312807,0,0
"101","...101",3.85100431224766,0,4.54271565129993,0.185169670885709,4.7959077149627,4.93658312988198,4.93358636735961,0,0
